ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	simulations.Plane	plane	1589924592922	 	3.3.1
REQUEST	76		ClientLogin	1589924600121	1589924600127	OK	 
USER	Airlines	71	START	1589924600223	1589924600223
REQUEST	71		AirlineLogin	1589924600225	1589924600236	OK	 
USER	Clients	77	START	1589924600317	1589924600317
USER	Airlines	72	START	1589924600317	1589924600317
REQUEST	77		ClientLogin	1589924600318	1589924600323	OK	 
REQUEST	72		AirlineLogin	1589924600318	1589924600323	OK	 
USER	Airlines	78	START	1589924600419	1589924600419
REQUEST	78		AirlineLogin	1589924600420	1589924600425	OK	 
USER	Clients	88	START	1589924600519	1589924600519
USER	Airlines	79	START	1589924600519	1589924600519
REQUEST	88		ClientLogin	1589924600521	1589924600532	OK	 
REQUEST	79		AirlineLogin	1589924600523	1589924600534	OK	 
USER	Airlines	80	START	1589924600621	1589924600621
REQUEST	80		AirlineLogin	1589924600622	1589924600626	OK	 
USER	Clients	89	START	1589924600717	1589924600717
USER	Airlines	81	START	1589924600717	1589924600717
REQUEST	89		ClientLogin	1589924600718	1589924600723	OK	 
REQUEST	81		AirlineLogin	1589924600718	1589924600725	OK	 
USER	Airlines	82	START	1589924600817	1589924600817
REQUEST	82		AirlineLogin	1589924600818	1589924600828	OK	 
USER	Airlines	83	START	1589924600921	1589924600921
USER	Clients	90	START	1589924600921	1589924600921
REQUEST	90		ClientLogin	1589924600922	1589924600927	OK	 
REQUEST	83		AirlineLogin	1589924600922	1589924600928	OK	 
USER	Airlines	84	START	1589924601019	1589924601019
REQUEST	84		AirlineLogin	1589924601020	1589924601024	OK	 
USER	Clients	91	START	1589924601120	1589924601120
USER	Airlines	85	START	1589924601120	1589924601120
REQUEST	91		ClientLogin	1589924601120	1589924601127	OK	 
REQUEST	85		AirlineLogin	1589924601120	1589924601128	OK	 
USER	Airlines	86	START	1589924601217	1589924601217
REQUEST	86		AirlineLogin	1589924601218	1589924601222	OK	 
USER	Airlines	87	START	1589924601321	1589924601321
USER	Clients	92	START	1589924601321	1589924601321
REQUEST	87		AirlineLogin	1589924601322	1589924601328	OK	 
REQUEST	92		ClientLogin	1589924601323	1589924601329	OK	 
USER	Airlines	93	START	1589924601428	1589924601428
REQUEST	93		AirlineLogin	1589924601429	1589924601439	OK	 
USER	Clients	103	START	1589924601518	1589924601518
REQUEST	103		ClientLogin	1589924601519	1589924601525	OK	 
USER	Airlines	94	START	1589924601529	1589924601529
REQUEST	94		AirlineLogin	1589924601529	1589924601534	OK	 
USER	Airlines	95	START	1589924601628	1589924601628
REQUEST	95		AirlineLogin	1589924601628	1589924601635	OK	 
USER	Clients	104	START	1589924601717	1589924601717
REQUEST	104		ClientLogin	1589924601718	1589924601725	OK	 
USER	Airlines	96	START	1589924601729	1589924601729
REQUEST	96		AirlineLogin	1589924601730	1589924601743	OK	 
USER	Airlines	97	START	1589924601827	1589924601827
REQUEST	97		AirlineLogin	1589924601828	1589924601833	OK	 
USER	Clients	105	START	1589924601917	1589924601917
REQUEST	105		ClientLogin	1589924601918	1589924601921	OK	 
USER	Airlines	98	START	1589924601928	1589924601928
REQUEST	98		AirlineLogin	1589924601929	1589924601933	OK	 
USER	Airlines	99	START	1589924602031	1589924602031
REQUEST	99		AirlineLogin	1589924602031	1589924602036	OK	 
USER	Clients	106	START	1589924602122	1589924602122
REQUEST	106		ClientLogin	1589924602123	1589924602127	OK	 
USER	Airlines	100	START	1589924602127	1589924602127
REQUEST	100		AirlineLogin	1589924602128	1589924602136	OK	 
USER	Airlines	101	START	1589924602227	1589924602227
REQUEST	101		AirlineLogin	1589924602228	1589924602232	OK	 
USER	Clients	107	START	1589924602317	1589924602317
REQUEST	107		ClientLogin	1589924602318	1589924602322	OK	 
USER	Airlines	102	START	1589924602328	1589924602328
REQUEST	102		AirlineLogin	1589924602329	1589924602335	OK	 
USER	Airlines	108	START	1589924602422	1589924602422
REQUEST	108		AirlineLogin	1589924602423	1589924602428	OK	 
USER	Airlines	109	START	1589924602522	1589924602522
USER	Clients	118	START	1589924602522	1589924602522
REQUEST	109		AirlineLogin	1589924602522	1589924602528	OK	 
REQUEST	118		ClientLogin	1589924602522	1589924602529	OK	 
USER	Airlines	110	START	1589924602620	1589924602620
REQUEST	110		AirlineLogin	1589924602622	1589924602628	OK	 
USER	Airlines	111	START	1589924602721	1589924602721
USER	Clients	119	START	1589924602721	1589924602721
REQUEST	119		ClientLogin	1589924602721	1589924602726	OK	 
REQUEST	111		AirlineLogin	1589924602721	1589924602728	OK	 
USER	Airlines	112	START	1589924602823	1589924602823
REQUEST	112		AirlineLogin	1589924602823	1589924602828	OK	 
USER	Airlines	113	START	1589924602918	1589924602918
USER	Clients	120	START	1589924602918	1589924602918
REQUEST	120		ClientLogin	1589924602919	1589924602929	OK	 
REQUEST	113		AirlineLogin	1589924602919	1589924602930	OK	 
USER	Airlines	114	START	1589924603020	1589924603020
REQUEST	114		AirlineLogin	1589924603021	1589924603026	OK	 
USER	Airlines	115	START	1589924603121	1589924603121
USER	Clients	121	START	1589924603121	1589924603121
REQUEST	121		ClientLogin	1589924603122	1589924603127	OK	 
REQUEST	115		AirlineLogin	1589924603122	1589924603128	OK	 
USER	Airlines	116	START	1589924603217	1589924603217
REQUEST	116		AirlineLogin	1589924603218	1589924603227	OK	 
USER	Airlines	117	START	1589924603318	1589924603318
USER	Clients	122	START	1589924603319	1589924603319
REQUEST	117		AirlineLogin	1589924603319	1589924603325	OK	 
REQUEST	122		ClientLogin	1589924603323	1589924603328	OK	 
USER	Airlines	123	START	1589924603427	1589924603427
REQUEST	123		AirlineLogin	1589924603428	1589924603433	OK	 
USER	Clients	133	START	1589924603520	1589924603520
REQUEST	133		ClientLogin	1589924603521	1589924603525	OK	 
USER	Airlines	124	START	1589924603530	1589924603530
REQUEST	124		AirlineLogin	1589924603531	1589924603535	OK	 
USER	Airlines	125	START	1589924603630	1589924603630
REQUEST	125		AirlineLogin	1589924603630	1589924603638	OK	 
USER	Clients	134	START	1589924603720	1589924603720
REQUEST	134		ClientLogin	1589924603721	1589924603730	OK	 
USER	Airlines	126	START	1589924603730	1589924603730
REQUEST	126		AirlineLogin	1589924603731	1589924603737	OK	 
USER	Airlines	127	START	1589924603827	1589924603827
REQUEST	127		AirlineLogin	1589924603828	1589924603834	OK	 
USER	Clients	135	START	1589924603920	1589924603920
REQUEST	135		ClientLogin	1589924603921	1589924603925	OK	 
USER	Airlines	128	START	1589924603930	1589924603930
REQUEST	128		AirlineLogin	1589924603931	1589924603940	OK	 
USER	Airlines	129	START	1589924604027	1589924604027
REQUEST	129		AirlineLogin	1589924604028	1589924604032	OK	 
USER	Clients	136	START	1589924604117	1589924604117
REQUEST	136		ClientLogin	1589924604118	1589924604122	OK	 
USER	Airlines	130	START	1589924604128	1589924604128
REQUEST	130		AirlineLogin	1589924604129	1589924604138	OK	 
USER	Airlines	131	START	1589924604233	1589924604233
REQUEST	131		AirlineLogin	1589924604234	1589924604238	OK	 
USER	Clients	137	START	1589924604317	1589924604317
REQUEST	137		ClientLogin	1589924604318	1589924604323	OK	 
USER	Airlines	132	START	1589924604327	1589924604327
REQUEST	132		AirlineLogin	1589924604328	1589924604334	OK	 
USER	Airlines	138	START	1589924604419	1589924604419
REQUEST	138		AirlineLogin	1589924604420	1589924604424	OK	 
USER	Airlines	139	START	1589924604520	1589924604520
USER	Clients	148	START	1589924604520	1589924604520
REQUEST	148		ClientLogin	1589924604520	1589924604525	OK	 
REQUEST	139		AirlineLogin	1589924604520	1589924604525	OK	 
USER	Airlines	140	START	1589924604621	1589924604621
REQUEST	140		AirlineLogin	1589924604621	1589924604625	OK	 
USER	Clients	149	START	1589924604718	1589924604718
USER	Airlines	141	START	1589924604718	1589924604718
REQUEST	149		ClientLogin	1589924604718	1589924604725	OK	 
REQUEST	141		AirlineLogin	1589924604718	1589924604727	OK	 
USER	Airlines	142	START	1589924604817	1589924604817
REQUEST	142		AirlineLogin	1589924604818	1589924604824	OK	 
USER	Clients	150	START	1589924604918	1589924604918
USER	Airlines	143	START	1589924604918	1589924604918
REQUEST	150		ClientLogin	1589924604919	1589924604924	OK	 
REQUEST	143		AirlineLogin	1589924604919	1589924604924	OK	 
USER	Airlines	144	START	1589924605020	1589924605020
REQUEST	144		AirlineLogin	1589924605020	1589924605024	OK	 
USER	Airlines	145	START	1589924605120	1589924605120
USER	Clients	151	START	1589924605120	1589924605120
REQUEST	145		AirlineLogin	1589924605121	1589924605130	OK	 
REQUEST	151		ClientLogin	1589924605121	1589924605130	OK	 
