ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
ASSERTION	AAECAAMEAAAAAAAAgFZA
RUN	dp2.AerolineaCreaAeropuertoCSV	aerolineacreaaeropuertocsv	1590714919533	 	3.3.1
REQUEST	81		Home	1590714929836	1590714929841	OK	 
REQUEST	11		LoginAirline	1590714929878	1590714929881	OK	 
REQUEST	11		request_9	1590714929883	1590714929886	OK	 
USER	AirlineCreateAirport	82	START	1590714929935	1590714929935
REQUEST	82		Home	1590714929935	1590714929948	OK	 
REQUEST	12		LoginAirline	1590714929989	1590714929992	OK	 
REQUEST	12		request_9	1590714929994	1590714929997	OK	 
USER	AirlineCreateAirport	83	START	1590714930036	1590714930036
REQUEST	83		Home	1590714930037	1590714930042	OK	 
REQUEST	13		LoginAirline	1590714930079	1590714930081	OK	 
REQUEST	13		request_9	1590714930083	1590714930086	OK	 
USER	AirlineCreateAirport	84	START	1590714930135	1590714930135
REQUEST	84		Home	1590714930135	1590714930141	OK	 
REQUEST	14		LoginAirline	1590714930168	1590714930171	OK	 
REQUEST	14		request_9	1590714930173	1590714930175	OK	 
USER	AirlineCreateAirport	85	START	1590714930235	1590714930235
REQUEST	85		Home	1590714930235	1590714930241	OK	 
REQUEST	15		LoginAirline	1590714930278	1590714930280	OK	 
REQUEST	15		request_9	1590714930284	1590714930287	OK	 
USER	AirlineCreateAirport	86	START	1590714930340	1590714930340
REQUEST	86		Home	1590714930341	1590714930346	OK	 
REQUEST	16		LoginAirline	1590714930365	1590714930368	OK	 
REQUEST	16		request_9	1590714930370	1590714930372	OK	 
USER	AirlineCreateAirport	87	START	1590714930440	1590714930440
REQUEST	87		Home	1590714930441	1590714930446	OK	 
REQUEST	17		LoginAirline	1590714930466	1590714930469	OK	 
REQUEST	17		request_9	1590714930472	1590714930474	OK	 
USER	AirlineCreateAirport	88	START	1590714930535	1590714930535
REQUEST	88		Home	1590714930536	1590714930541	OK	 
REQUEST	18		LoginAirline	1590714930568	1590714930571	OK	 
REQUEST	18		request_9	1590714930572	1590714930574	OK	 
USER	AirlineCreateAirport	89	START	1590714930637	1590714930637
REQUEST	89		Home	1590714930638	1590714930642	OK	 
REQUEST	19		LoginAirline	1590714930670	1590714930673	OK	 
REQUEST	19		request_9	1590714930675	1590714930678	OK	 
USER	AirlineCreateAirport	90	START	1590714930735	1590714930735
REQUEST	90		Home	1590714930736	1590714930742	OK	 
REQUEST	20		LoginAirline	1590714930768	1590714930771	OK	 
REQUEST	20		request_9	1590714930774	1590714930776	OK	 
USER	AirlineCreateAirport	91	START	1590714930835	1590714930835
REQUEST	91		Home	1590714930835	1590714930842	OK	 
REQUEST	21		LoginAirline	1590714930867	1590714930869	OK	 
REQUEST	21		request_9	1590714930871	1590714930873	OK	 
USER	AirlineCreateAirport	92	START	1590714930935	1590714930935
REQUEST	92		Home	1590714930935	1590714930940	OK	 
REQUEST	22		LoginAirline	1590714930957	1590714930959	OK	 
REQUEST	22		request_9	1590714930961	1590714930964	OK	 
USER	AirlineCreateAirport	93	START	1590714931035	1590714931035
REQUEST	93		Home	1590714931035	1590714931040	OK	 
REQUEST	23		LoginAirline	1590714931056	1590714931059	OK	 
REQUEST	23		request_9	1590714931060	1590714931063	OK	 
USER	AirlineCreateAirport	94	START	1590714931140	1590714931140
REQUEST	94		Home	1590714931140	1590714931146	OK	 
REQUEST	24		LoginAirline	1590714931165	1590714931168	OK	 
REQUEST	24		request_9	1590714931170	1590714931172	OK	 
USER	AirlineCreateAirport	95	START	1590714931237	1590714931237
REQUEST	95		Home	1590714931238	1590714931243	OK	 
REQUEST	25		LoginAirline	1590714931258	1590714931261	OK	 
REQUEST	25		request_9	1590714931263	1590714931266	OK	 
USER	AirlineCreateAirport	96	START	1590714931337	1590714931337
REQUEST	96		Home	1590714931338	1590714931343	OK	 
REQUEST	26		LoginAirline	1590714931359	1590714931362	OK	 
REQUEST	26		request_9	1590714931364	1590714931366	OK	 
USER	AirlineCreateAirport	97	START	1590714931436	1590714931436
REQUEST	97		Home	1590714931437	1590714931442	OK	 
REQUEST	27		LoginAirline	1590714931459	1590714931461	OK	 
REQUEST	27		request_9	1590714931463	1590714931466	OK	 
USER	AirlineCreateAirport	98	START	1590714931539	1590714931539
REQUEST	98		Home	1590714931540	1590714931544	OK	 
REQUEST	28		LoginAirline	1590714931555	1590714931557	OK	 
REQUEST	28		request_9	1590714931559	1590714931562	OK	 
USER	AirlineCreateAirport	99	START	1590714931638	1590714931638
REQUEST	99		Home	1590714931639	1590714931643	OK	 
REQUEST	29		LoginAirline	1590714931659	1590714931662	OK	 
REQUEST	29		request_9	1590714931664	1590714931667	OK	 
USER	AirlineCreateAirport	100	START	1590714931738	1590714931738
REQUEST	100		Home	1590714931739	1590714931744	OK	 
REQUEST	30		LoginAirline	1590714931761	1590714931763	OK	 
REQUEST	30		request_9	1590714931765	1590714931768	OK	 
USER	AirlineCreateAirport	101	START	1590714931838	1590714931838
REQUEST	101		Home	1590714931838	1590714931843	OK	 
REQUEST	31		LoginAirline	1590714931860	1590714931862	OK	 
REQUEST	31		request_9	1590714931864	1590714931867	OK	 
USER	AirlineCreateAirport	102	START	1590714931929	1590714931929
REQUEST	102		Home	1590714931930	1590714931935	OK	 
REQUEST	32		LoginAirline	1590714931945	1590714931947	OK	 
REQUEST	32		request_9	1590714931949	1590714931951	OK	 
USER	AirlineCreateAirport	103	START	1590714932030	1590714932030
REQUEST	103		Home	1590714932031	1590714932036	OK	 
REQUEST	33		LoginAirline	1590714932045	1590714932047	OK	 
REQUEST	33		request_9	1590714932049	1590714932051	OK	 
USER	AirlineCreateAirport	104	START	1590714932125	1590714932125
REQUEST	104		Home	1590714932125	1590714932130	OK	 
REQUEST	34		LoginAirline	1590714932146	1590714932149	OK	 
REQUEST	34		request_9	1590714932151	1590714932153	OK	 
USER	AirlineCreateAirport	105	START	1590714932225	1590714932225
REQUEST	105		Home	1590714932225	1590714932230	OK	 
REQUEST	35		LoginAirline	1590714932246	1590714932249	OK	 
REQUEST	35		request_9	1590714932251	1590714932253	OK	 
USER	AirlineCreateAirport	106	START	1590714932325	1590714932325
REQUEST	106		Home	1590714932325	1590714932330	OK	 
REQUEST	36		LoginAirline	1590714932346	1590714932349	OK	 
REQUEST	36		request_9	1590714932351	1590714932353	OK	 
USER	AirlineCreateAirport	107	START	1590714932425	1590714932425
REQUEST	107		Home	1590714932425	1590714932430	OK	 
REQUEST	37		LoginAirline	1590714932445	1590714932447	OK	 
REQUEST	37		request_9	1590714932449	1590714932452	OK	 
USER	AirlineCreateAirport	108	START	1590714932525	1590714932525
REQUEST	108		Home	1590714932525	1590714932530	OK	 
REQUEST	38		LoginAirline	1590714932546	1590714932549	OK	 
REQUEST	38		request_9	1590714932550	1590714932553	OK	 
USER	AirlineCreateAirport	109	START	1590714932624	1590714932624
REQUEST	109		Home	1590714932625	1590714932630	OK	 
REQUEST	39		LoginAirline	1590714932645	1590714932647	OK	 
REQUEST	39		request_9	1590714932649	1590714932651	OK	 
USER	AirlineCreateAirport	110	START	1590714932729	1590714932729
REQUEST	110		Home	1590714932729	1590714932734	OK	 
REQUEST	40		LoginAirline	1590714932745	1590714932748	OK	 
REQUEST	40		request_9	1590714932749	1590714932752	OK	 
USER	AirlineCreateAirport	111	START	1590714932828	1590714932828
REQUEST	111		Home	1590714932829	1590714932834	OK	 
REQUEST	41		LoginAirline	1590714932850	1590714932853	OK	 
REQUEST	41		request_9	1590714932854	1590714932857	OK	 
USER	AirlineCreateAirport	112	START	1590714932928	1590714932928
REQUEST	112		Home	1590714932929	1590714932935	OK	 
REQUEST	42		LoginAirline	1590714932939	1590714932941	OK	 
REQUEST	42		request_9	1590714932943	1590714932945	OK	 
USER	AirlineCreateAirport	113	START	1590714933028	1590714933028
REQUEST	113		Home	1590714933029	1590714933034	OK	 
REQUEST	43		LoginAirline	1590714933040	1590714933043	OK	 
REQUEST	43		request_9	1590714933045	1590714933052	OK	 
USER	AirlineCreateAirport	114	START	1590714933130	1590714933130
REQUEST	114		Home	1590714933131	1590714933136	OK	 
REQUEST	44		LoginAirline	1590714933135	1590714933138	OK	 
REQUEST	44		request_9	1590714933140	1590714933144	OK	 
USER	AirlineCreateAirport	115	START	1590714933226	1590714933226
REQUEST	115		Home	1590714933226	1590714933232	OK	 
REQUEST	45		LoginAirline	1590714933237	1590714933240	OK	 
REQUEST	45		request_9	1590714933242	1590714933245	OK	 
USER	AirlineCreateAirport	116	START	1590714933325	1590714933325
REQUEST	116		Home	1590714933325	1590714933330	OK	 
REQUEST	46		LoginAirline	1590714933335	1590714933338	OK	 
REQUEST	46		request_9	1590714933340	1590714933342	OK	 
USER	AirlineCreateAirport	117	START	1590714933429	1590714933429
REQUEST	117		Home	1590714933429	1590714933434	OK	 
REQUEST	47		LoginAirline	1590714933450	1590714933453	OK	 
REQUEST	47		request_9	1590714933455	1590714933458	OK	 
USER	AirlineCreateAirport	118	START	1590714933528	1590714933528
REQUEST	118		Home	1590714933528	1590714933533	OK	 
REQUEST	48		LoginAirline	1590714933549	1590714933551	OK	 
REQUEST	48		request_9	1590714933553	1590714933556	OK	 
USER	AirlineCreateAirport	119	START	1590714933628	1590714933628
REQUEST	119		Home	1590714933628	1590714933633	OK	 
REQUEST	49		LoginAirline	1590714933639	1590714933642	OK	 
REQUEST	49		request_9	1590714933645	1590714933648	OK	 
USER	AirlineCreateAirport	120	START	1590714933730	1590714933730
REQUEST	120		Home	1590714933730	1590714933735	OK	 
REQUEST	50		LoginAirline	1590714933735	1590714933737	OK	 
REQUEST	50		request_9	1590714933739	1590714933741	OK	 
USER	AirlineCreateAirport	121	START	1590714933827	1590714933827
REQUEST	121		Home	1590714933828	1590714933834	OK	 
REQUEST	51		LoginAirline	1590714933838	1590714933841	OK	 
REQUEST	51		request_9	1590714933842	1590714933844	OK	 
USER	AirlineCreateAirport	122	START	1590714933926	1590714933926
REQUEST	122		Home	1590714933927	1590714933934	OK	 
REQUEST	52		LoginAirline	1590714933958	1590714933961	OK	 
REQUEST	52		request_9	1590714933962	1590714933965	OK	 
USER	AirlineCreateAirport	123	START	1590714934026	1590714934026
REQUEST	123		Home	1590714934027	1590714934034	OK	 
REQUEST	53		LoginAirline	1590714934059	1590714934063	OK	 
REQUEST	53		request_9	1590714934065	1590714934068	OK	 
USER	AirlineCreateAirport	124	START	1590714934129	1590714934129
REQUEST	124		Home	1590714934129	1590714934135	OK	 
REQUEST	54		LoginAirline	1590714934156	1590714934159	OK	 
REQUEST	54		request_9	1590714934161	1590714934163	OK	 
USER	AirlineCreateAirport	125	START	1590714934226	1590714934226
REQUEST	125		Home	1590714934226	1590714934231	OK	 
REQUEST	55		LoginAirline	1590714934259	1590714934261	OK	 
REQUEST	55		request_9	1590714934263	1590714934266	OK	 
REQUEST	56		LoginAirline	1590714934355	1590714934357	OK	 
REQUEST	56		request_9	1590714934359	1590714934361	OK	 
USER	AirlineCreateAirport	126	START	1590714934328	1590714934328
REQUEST	126		Home	1590714934373	1590714934378	OK	 
USER	AirlineCreateAirport	127	START	1590714934425	1590714934425
REQUEST	127		Home	1590714934425	1590714934431	OK	 
REQUEST	57		LoginAirline	1590714934456	1590714934459	OK	 
REQUEST	57		request_9	1590714934461	1590714934463	OK	 
USER	AirlineCreateAirport	128	START	1590714934525	1590714934525
REQUEST	128		Home	1590714934526	1590714934531	OK	 
REQUEST	58		LoginAirline	1590714934558	1590714934561	OK	 
REQUEST	58		request_9	1590714934563	1590714934565	OK	 
USER	AirlineCreateAirport	129	START	1590714934629	1590714934629
REQUEST	129		Home	1590714934629	1590714934634	OK	 
REQUEST	59		LoginAirline	1590714934655	1590714934657	OK	 
REQUEST	59		request_9	1590714934659	1590714934661	OK	 
USER	AirlineCreateAirport	130	START	1590714934730	1590714934730
REQUEST	130		Home	1590714934731	1590714934736	OK	 
REQUEST	60		LoginAirline	1590714934757	1590714934759	OK	 
REQUEST	60		request_9	1590714934760	1590714934763	OK	 
USER	AirlineCreateAirport	131	START	1590714934830	1590714934830
REQUEST	131		Home	1590714934830	1590714934835	OK	 
REQUEST	61		LoginAirline	1590714934855	1590714934857	OK	 
REQUEST	61		request_9	1590714934859	1590714934861	OK	 
USER	AirlineCreateAirport	132	START	1590714934930	1590714934930
REQUEST	132		Home	1590714934930	1590714934937	OK	 
REQUEST	62		LoginAirline	1590714934958	1590714934961	OK	 
REQUEST	62		request_9	1590714934962	1590714934965	OK	 
USER	AirlineCreateAirport	133	START	1590714935025	1590714935025
REQUEST	133		Home	1590714935025	1590714935030	OK	 
REQUEST	63		LoginAirline	1590714935058	1590714935060	OK	 
REQUEST	63		request_9	1590714935062	1590714935064	OK	 
USER	AirlineCreateAirport	134	START	1590714935126	1590714935126
REQUEST	134		Home	1590714935127	1590714935132	OK	 
REQUEST	64		LoginAirline	1590714935159	1590714935161	OK	 
REQUEST	64		request_9	1590714935163	1590714935165	OK	 
USER	AirlineCreateAirport	135	START	1590714935228	1590714935228
REQUEST	135		Home	1590714935229	1590714935234	OK	 
REQUEST	65		LoginAirline	1590714935255	1590714935257	OK	 
REQUEST	65		request_9	1590714935259	1590714935262	OK	 
USER	AirlineCreateAirport	136	START	1590714935326	1590714935326
REQUEST	136		Home	1590714935327	1590714935331	OK	 
REQUEST	66		LoginAirline	1590714935360	1590714935362	OK	 
REQUEST	66		request_9	1590714935364	1590714935366	OK	 
USER	AirlineCreateAirport	137	START	1590714935426	1590714935426
REQUEST	137		Home	1590714935427	1590714935432	OK	 
REQUEST	67		LoginAirline	1590714935458	1590714935460	OK	 
REQUEST	67		request_9	1590714935462	1590714935464	OK	 
USER	AirlineCreateAirport	138	START	1590714935528	1590714935528
REQUEST	138		Home	1590714935529	1590714935533	OK	 
REQUEST	68		LoginAirline	1590714935555	1590714935557	OK	 
REQUEST	68		request_9	1590714935559	1590714935561	OK	 
USER	AirlineCreateAirport	139	START	1590714935627	1590714935627
REQUEST	139		Home	1590714935627	1590714935632	OK	 
REQUEST	69		LoginAirline	1590714935659	1590714935661	OK	 
REQUEST	69		request_9	1590714935663	1590714935665	OK	 
USER	AirlineCreateAirport	140	START	1590714935726	1590714935726
REQUEST	140		Home	1590714935726	1590714935731	OK	 
REQUEST	70		LoginAirline	1590714935758	1590714935761	OK	 
REQUEST	70		request_9	1590714935763	1590714935766	OK	 
USER	AirlineCreateAirport	141	START	1590714935827	1590714935827
REQUEST	141		Home	1590714935827	1590714935831	OK	 
REQUEST	71		LoginAirline	1590714935860	1590714935862	OK	 
REQUEST	71		request_9	1590714935864	1590714935866	OK	 
USER	AirlineCreateAirport	142	START	1590714935927	1590714935927
REQUEST	142		Home	1590714935928	1590714935934	OK	 
REQUEST	72		LoginAirline	1590714935960	1590714935962	OK	 
REQUEST	72		request_9	1590714935964	1590714935967	OK	 
USER	AirlineCreateAirport	143	START	1590714936029	1590714936029
REQUEST	143		Home	1590714936029	1590714936034	OK	 
REQUEST	73		LoginAirline	1590714936055	1590714936058	OK	 
REQUEST	73		request_9	1590714936059	1590714936061	OK	 
USER	AirlineCreateAirport	144	START	1590714936130	1590714936130
REQUEST	144		Home	1590714936130	1590714936135	OK	 
REQUEST	74		LoginAirline	1590714936155	1590714936157	OK	 
REQUEST	74		request_9	1590714936159	1590714936161	OK	 
USER	AirlineCreateAirport	145	START	1590714936229	1590714936229
REQUEST	145		Home	1590714936230	1590714936234	OK	 
REQUEST	75		LoginAirline	1590714936255	1590714936258	OK	 
REQUEST	75		request_9	1590714936259	1590714936261	OK	 
USER	AirlineCreateAirport	146	START	1590714936325	1590714936325
REQUEST	146		Home	1590714936325	1590714936329	OK	 
REQUEST	76		LoginAirline	1590714936357	1590714936359	OK	 
REQUEST	76		request_9	1590714936361	1590714936363	OK	 
USER	AirlineCreateAirport	147	START	1590714936426	1590714936426
REQUEST	147		Home	1590714936427	1590714936431	OK	 
REQUEST	77		LoginAirline	1590714936457	1590714936460	OK	 
REQUEST	77		request_9	1590714936461	1590714936463	OK	 
USER	AirlineCreateAirport	148	START	1590714936525	1590714936525
REQUEST	148		Home	1590714936525	1590714936529	OK	 
REQUEST	78		LoginAirline	1590714936555	1590714936558	OK	 
REQUEST	78		request_9	1590714936559	1590714936562	OK	 
USER	AirlineCreateAirport	149	START	1590714936629	1590714936629
REQUEST	149		Home	1590714936629	1590714936634	OK	 
REQUEST	79		LoginAirline	1590714936656	1590714936658	OK	 
REQUEST	79		request_9	1590714936660	1590714936663	OK	 
USER	AirlineCreateAirport	150	START	1590714936729	1590714936729
REQUEST	150		Home	1590714936729	1590714936734	OK	 
REQUEST	80		LoginAirline	1590714936765	1590714936768	OK	 
REQUEST	80		request_9	1590714936769	1590714936771	OK	 
