ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AirlineRegistraVuelo	airlineregistravuelo	1588724354053	 	3.3.1
USER	AirlineRegistraVuelo	81	START	1588724356816	1588724356816
REQUEST	81		Home	1588724356816	1588724356819	OK	 
USER	AirlineRegistraVuelo	82	START	1588724356837	1588724356837
REQUEST	82		Home	1588724356838	1588724356841	OK	 
USER	AirlineRegistraVuelo	83	START	1588724356859	1588724356859
REQUEST	83		Home	1588724356859	1588724356863	OK	 
USER	AirlineRegistraVuelo	84	START	1588724356880	1588724356880
REQUEST	84		Home	1588724356880	1588724356885	OK	 
USER	AirlineRegistraVuelo	85	START	1588724356894	1588724356894
REQUEST	85		Home	1588724356895	1588724356899	OK	 
USER	AirlineRegistraVuelo	86	START	1588724356915	1588724356915
REQUEST	86		Home	1588724356915	1588724356919	OK	 
USER	AirlineRegistraVuelo	87	START	1588724356935	1588724356935
REQUEST	87		Home	1588724356936	1588724356940	OK	 
USER	AirlineRegistraVuelo	88	START	1588724356957	1588724356957
REQUEST	88		Home	1588724356958	1588724356962	OK	 
USER	AirlineRegistraVuelo	89	START	1588724356978	1588724356978
REQUEST	89		Home	1588724356978	1588724356982	OK	 
USER	AirlineRegistraVuelo	90	START	1588724356999	1588724356999
REQUEST	90		Home	1588724357000	1588724357004	OK	 
USER	AirlineRegistraVuelo	91	START	1588724357020	1588724357020
REQUEST	91		Home	1588724357021	1588724357024	OK	 
USER	AirlineRegistraVuelo	92	START	1588724357034	1588724357034
REQUEST	92		Home	1588724357035	1588724357040	OK	 
USER	AirlineRegistraVuelo	93	START	1588724357056	1588724357056
REQUEST	93		Home	1588724357056	1588724357060	OK	 
USER	AirlineRegistraVuelo	94	START	1588724357077	1588724357077
REQUEST	94		Home	1588724357077	1588724357081	OK	 
USER	AirlineRegistraVuelo	95	START	1588724357099	1588724357099
REQUEST	95		Home	1588724357099	1588724357104	OK	 
USER	AirlineRegistraVuelo	96	START	1588724357114	1588724357114
REQUEST	96		Home	1588724357115	1588724357119	OK	 
USER	AirlineRegistraVuelo	97	START	1588724357135	1588724357135
REQUEST	97		Home	1588724357135	1588724357140	OK	 
USER	AirlineRegistraVuelo	98	START	1588724357157	1588724357157
REQUEST	98		Home	1588724357157	1588724357161	OK	 
USER	AirlineRegistraVuelo	99	START	1588724357178	1588724357178
REQUEST	99		Home	1588724357178	1588724357182	OK	 
USER	AirlineRegistraVuelo	100	START	1588724357200	1588724357200
REQUEST	100		Home	1588724357200	1588724357205	OK	 
