ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
ASSERTION	AAECAAMEAAAAAAAAgFZA
RUN	dp2.AirportSimulation	airportsimulation	1590233309616	 	3.3.1
USER	AirlineDeleteAirport	139	START	1590233311633	1590233311633
USER	AirlineCreateAirport	34	START	1590233311633	1590233311633
USER	ClientShowAirport	118	START	1590233311633	1590233311633
REQUEST	139		Home	1590233311633	1590233311636	OK	 
REQUEST	34		Home	1590233311633	1590233311636	OK	 
REQUEST	118		Home	1590233311633	1590233311636	OK	 
USER	ClientListAirports	97	START	1590233311643	1590233311643
USER	AirlineShowAirport	55	START	1590233311643	1590233311643
USER	AirlineEditAirport	13	START	1590233311643	1590233311643
USER	AirlineListAirports	76	START	1590233311643	1590233311643
REQUEST	55		Home	1590233311643	1590233311646	OK	 
REQUEST	13		Home	1590233311643	1590233311646	OK	 
REQUEST	76		Home	1590233311643	1590233311646	OK	 
REQUEST	97		Home	1590233311643	1590233311646	OK	 
USER	AirlineDeleteAirport	140	START	1590233311730	1590233311730
USER	ClientShowAirport	119	START	1590233311730	1590233311730
USER	AirlineCreateAirport	35	START	1590233311730	1590233311730
REQUEST	35		Home	1590233311730	1590233311733	OK	 
REQUEST	119		Home	1590233311730	1590233311733	OK	 
REQUEST	140		Home	1590233311730	1590233311734	OK	 
USER	AirlineListAirports	77	START	1590233311741	1590233311741
USER	ClientListAirports	98	START	1590233311741	1590233311741
USER	AirlineShowAirport	56	START	1590233311741	1590233311741
USER	AirlineEditAirport	14	START	1590233311741	1590233311741
REQUEST	56		Home	1590233311741	1590233311744	OK	 
REQUEST	14		Home	1590233311741	1590233311744	OK	 
REQUEST	98		Home	1590233311741	1590233311744	OK	 
REQUEST	77		Home	1590233311741	1590233311744	OK	 
USER	AirlineCreateAirport	36	START	1590233311833	1590233311833
USER	AirlineDeleteAirport	141	START	1590233311833	1590233311833
USER	ClientShowAirport	120	START	1590233311833	1590233311833
REQUEST	36		Home	1590233311834	1590233311836	OK	 
REQUEST	120		Home	1590233311834	1590233311836	OK	 
REQUEST	141		Home	1590233311834	1590233311836	OK	 
USER	AirlineShowAirport	57	START	1590233311843	1590233311843
USER	AirlineEditAirport	15	START	1590233311843	1590233311843
USER	ClientListAirports	99	START	1590233311843	1590233311843
USER	AirlineListAirports	78	START	1590233311843	1590233311843
REQUEST	78		Home	1590233311844	1590233311846	OK	 
REQUEST	57		Home	1590233311844	1590233311846	OK	 
REQUEST	99		Home	1590233311844	1590233311846	OK	 
REQUEST	15		Home	1590233311844	1590233311846	OK	 
USER	ClientShowAirport	121	START	1590233311931	1590233311931
USER	AirlineDeleteAirport	142	START	1590233311931	1590233311931
USER	AirlineCreateAirport	37	START	1590233311931	1590233311931
REQUEST	37		Home	1590233311931	1590233311934	OK	 
REQUEST	121		Home	1590233311931	1590233311934	OK	 
REQUEST	142		Home	1590233311931	1590233311934	OK	 
USER	AirlineShowAirport	58	START	1590233311941	1590233311941
USER	ClientListAirports	100	START	1590233311942	1590233311942
USER	AirlineEditAirport	16	START	1590233311941	1590233311941
USER	AirlineListAirports	79	START	1590233311941	1590233311941
REQUEST	16		Home	1590233311942	1590233311944	OK	 
REQUEST	100		Home	1590233311942	1590233311944	OK	 
REQUEST	79		Home	1590233311942	1590233311944	OK	 
REQUEST	58		Home	1590233311942	1590233311944	OK	 
USER	ClientShowAirport	122	START	1590233312034	1590233312034
USER	AirlineDeleteAirport	143	START	1590233312034	1590233312034
USER	AirlineCreateAirport	38	START	1590233312034	1590233312034
REQUEST	143		Home	1590233312034	1590233312037	OK	 
REQUEST	38		Home	1590233312034	1590233312037	OK	 
REQUEST	122		Home	1590233312034	1590233312037	OK	 
USER	AirlineShowAirport	59	START	1590233312044	1590233312044
USER	AirlineEditAirport	17	START	1590233312044	1590233312044
USER	ClientListAirports	101	START	1590233312044	1590233312044
