ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	acmevolar.performance.AerolineaRegistraVueloCSV	aerolinearegistravuelocsv	1590713590111	 	3.3.1
USER	AirlineRegistraVuelo	135	START	1590713619104	1590713619104
REQUEST	135		Home	1590713619104	1590713619109	OK	 
REQUEST	105		Login	1590713619126	1590713619129	OK	 
REQUEST	10		AirlineLogged	1590713619137	1590713619142	OK	 
REQUEST	10		AirlineLogged Redirect 1	1590713619142	1590713619146	OK	 
USER	AirlineRegistraVuelo	136	START	1590713619304	1590713619304
REQUEST	136		Home	1590713619305	1590713619310	OK	 
REQUEST	106		Login	1590713619326	1590713619329	OK	 
REQUEST	11		AirlineLogged	1590713619326	1590713619331	OK	 
REQUEST	11		AirlineLogged Redirect 1	1590713619332	1590713619336	OK	 
USER	AirlineRegistraVuelo	137	START	1590713619502	1590713619502
REQUEST	137		Home	1590713619503	1590713619508	OK	 
REQUEST	107		Login	1590713619523	1590713619527	OK	 
REQUEST	12		AirlineLogged	1590713619523	1590713619528	OK	 
REQUEST	12		AirlineLogged Redirect 1	1590713619529	1590713619532	OK	 
USER	AirlineRegistraVuelo	138	START	1590713619707	1590713619707
REQUEST	138		Home	1590713619708	1590713619712	OK	 
REQUEST	108		Login	1590713619718	1590713619721	OK	 
REQUEST	13		AirlineLogged	1590713619733	1590713619737	OK	 
REQUEST	13		AirlineLogged Redirect 1	1590713619738	1590713619741	OK	 
USER	AirlineRegistraVuelo	139	START	1590713619906	1590713619906
REQUEST	139		Home	1590713619907	1590713619911	OK	 
REQUEST	109		Login	1590713619927	1590713619930	OK	 
REQUEST	14		AirlineLogged	1590713619938	1590713619943	OK	 
REQUEST	14		AirlineLogged Redirect 1	1590713619943	1590713619947	OK	 
USER	AirlineRegistraVuelo	140	START	1590713620105	1590713620105
REQUEST	140		Home	1590713620106	1590713620110	OK	 
REQUEST	110		Login	1590713620127	1590713620130	OK	 
REQUEST	15		AirlineLogged	1590713620139	1590713620143	OK	 
REQUEST	15		AirlineLogged Redirect 1	1590713620143	1590713620146	OK	 
USER	AirlineRegistraVuelo	141	START	1590713620305	1590713620305
REQUEST	141		Home	1590713620306	1590713620310	OK	 
REQUEST	111		Login	1590713620326	1590713620328	OK	 
REQUEST	16		AirlineLogged	1590713620337	1590713620341	OK	 
REQUEST	16		AirlineLogged Redirect 1	1590713620342	1590713620345	OK	 
USER	AirlineRegistraVuelo	142	START	1590713620506	1590713620506
REQUEST	142		Home	1590713620507	1590713620511	OK	 
REQUEST	112		Login	1590713620528	1590713620532	OK	 
REQUEST	17		AirlineLogged	1590713620533	1590713620537	OK	 
REQUEST	17		AirlineLogged Redirect 1	1590713620538	1590713620542	OK	 
USER	AirlineRegistraVuelo	143	START	1590713620705	1590713620705
REQUEST	143		Home	1590713620705	1590713620711	OK	 
REQUEST	113		Login	1590713620727	1590713620730	OK	 
REQUEST	18		AirlineLogged	1590713620737	1590713620742	OK	 
REQUEST	18		AirlineLogged Redirect 1	1590713620742	1590713620745	OK	 
USER	AirlineRegistraVuelo	144	START	1590713620907	1590713620907
REQUEST	144		Home	1590713620907	1590713620914	OK	 
REQUEST	114		Login	1590713620923	1590713620925	OK	 
REQUEST	19		AirlineLogged	1590713620933	1590713620938	OK	 
REQUEST	19		AirlineLogged Redirect 1	1590713620938	1590713620942	OK	 
USER	AirlineRegistraVuelo	145	START	1590713621104	1590713621104
REQUEST	145		Home	1590713621105	1590713621109	OK	 
REQUEST	115		Login	1590713621126	1590713621129	OK	 
REQUEST	20		AirlineLogged	1590713621138	1590713621142	OK	 
REQUEST	20		AirlineLogged Redirect 1	1590713621142	1590713621146	OK	 
USER	AirlineRegistraVuelo	146	START	1590713621308	1590713621308
REQUEST	146		Home	1590713621308	1590713621312	OK	 
REQUEST	116		Login	1590713621313	1590713621315	OK	 
REQUEST	21		AirlineLogged	1590713621333	1590713621338	OK	 
REQUEST	21		AirlineLogged Redirect 1	1590713621338	1590713621343	OK	 
USER	AirlineRegistraVuelo	147	START	1590713621496	1590713621496
