ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
ASSERTION	AAECAAMEAAAAAAAAgFZA
RUN	acmevolar.model.ClienteCreaReservaCSV	clientecreareservacsv	1590716211648	 	3.3.1
REQUEST	14		CreateBook	1590716281678	1590716281701	OK	 
REQUEST	5		BookCreated	1590716281706	1590716281734	OK	 
USER	Clients create books	36	START	1590716283629	1590716283629
REQUEST	36		Home	1590716283630	1590716283635	OK	 
REQUEST	23		LoggedClient	1590716283655	1590716283661	OK	 
REQUEST	31		LoginFormClient	1590716283666	1590716283670	OK	 
REQUEST	23		LoggedClient Redirect 1	1590716283661	1590716283684	OK	 
REQUEST	15		CreateBook	1590716283666	1590716283685	OK	 
REQUEST	6		BookCreated	1590716283795	1590716283822	OK	 
USER	Clients create books	1	END	1590716213668	1590716283947
USER	Clients create books	37	START	1590716285639	1590716285639
REQUEST	37		Home	1590716285640	1590716285647	OK	 
REQUEST	32		LoginFormClient	1590716285655	1590716285660	OK	 
REQUEST	24		LoggedClient	1590716285655	1590716285663	OK	 
REQUEST	24		LoggedClient Redirect 1	1590716285664	1590716285669	OK	 
REQUEST	16		CreateBook	1590716285676	1590716285697	OK	 
REQUEST	7		BookCreated	1590716285692	1590716285719	OK	 
USER	Clients create books	2	END	1590716215698	1590716285800
USER	Clients create books	38	START	1590716287637	1590716287637
REQUEST	38		Home	1590716287637	1590716287643	OK	 
REQUEST	33		LoginFormClient	1590716287659	1590716287661	OK	 
REQUEST	25		LoggedClient	1590716287680	1590716287685	OK	 
REQUEST	25		LoggedClient Redirect 1	1590716287686	1590716287697	OK	 
REQUEST	17		CreateBook	1590716287685	1590716287705	OK	 
USER	Clients create books	3	END	1590716217647	1590716287725
REQUEST	8		BookCreated	1590716287705	1590716287731	OK	 
USER	Clients create books	39	START	1590716289634	1590716289634
REQUEST	39		Home	1590716289635	1590716289639	OK	 
REQUEST	34		LoginFormClient	1590716289655	1590716289657	OK	 
REQUEST	26		LoggedClient	1590716289665	1590716289669	OK	 
REQUEST	26		LoggedClient Redirect 1	1590716289670	1590716289673	OK	 
REQUEST	18		CreateBook	1590716289696	1590716289724	OK	 
REQUEST	9		BookCreated	1590716289708	1590716289730	OK	 
USER	Clients create books	4	END	1590716219648	1590716289740
USER	Clients create books	40	START	1590716291640	1590716291640
REQUEST	40		Home	1590716291640	1590716291645	OK	 
REQUEST	35		LoginFormClient	1590716291654	1590716291657	OK	 
REQUEST	27		LoggedClient	1590716291665	1590716291670	OK	 
REQUEST	27		LoggedClient Redirect 1	1590716291670	1590716291673	OK	 
REQUEST	19		CreateBook	1590716291676	1590716291690	OK	 
REQUEST	10		BookCreated	1590716291688	1590716291712	OK	 
USER	Clients create books	5	END	1590716221638	1590716291724
USER	Clients create books	41	START	1590716293637	1590716293637
REQUEST	41		Home	1590716293638	1590716293646	OK	 
REQUEST	36		LoginFormClient	1590716293648	1590716293651	OK	 
REQUEST	28		LoggedClient	1590716293670	1590716293675	OK	 
REQUEST	28		LoggedClient Redirect 1	1590716293676	1590716293681	OK	 
REQUEST	20		CreateBook	1590716293670	1590716293687	OK	 
REQUEST	11		BookCreated	1590716293708	1590716293732	OK	 
USER	Clients create books	6	END	1590716223648	1590716293824
USER	Clients create books	42	START	1590716295635	1590716295635
REQUEST	42		Home	1590716295636	1590716295641	OK	 
REQUEST	37		LoginFormClient	1590716295668	1590716295671	OK	 
REQUEST	29		LoggedClient	1590716295668	1590716295673	OK	 
REQUEST	29		LoggedClient Redirect 1	1590716295674	1590716295677	OK	 
REQUEST	21		CreateBook	1590716295679	1590716295695	OK	 
USER	Clients create books	7	END	1590716225628	1590716295704
REQUEST	12		BookCreated	1590716295690	1590716295712	OK	 
USER	Clients create books	43	START	1590716297628	1590716297628
REQUEST	43		Home	1590716297628	1590716297633	OK	 
REQUEST	38		LoginFormClient	1590716297654	1590716297657	OK	 
REQUEST	30		LoggedClient	1590716297675	1590716297680	OK	 
REQUEST	30		LoggedClient Redirect 1	1590716297681	1590716297692	OK	 
REQUEST	22		CreateBook	1590716297708	1590716297724	OK	 
USER	Clients create books	8	END	1590716227648	1590716297742
REQUEST	13		BookCreated	1590716297708	1590716297770	OK	 
USER	Clients create books	44	START	1590716299636	1590716299636
REQUEST	44		Home	1590716299636	1590716299641	OK	 
REQUEST	39		LoginFormClient	1590716299658	1590716299661	OK	 
REQUEST	31		LoggedClient	1590716299680	1590716299685	OK	 
REQUEST	31		LoggedClient Redirect 1	1590716299686	1590716299690	OK	 
REQUEST	23		CreateBook	1590716299685	1590716299701	OK	 
REQUEST	14		BookCreated	1590716299696	1590716299718	OK	 
USER	Clients create books	9	END	1590716229635	1590716299739
USER	Clients create books	45	START	1590716301637	1590716301637
REQUEST	45		Home	1590716301637	1590716301642	OK	 
REQUEST	40		LoginFormClient	1590716301658	1590716301661	OK	 
REQUEST	32		LoggedClient	1590716301669	1590716301674	OK	 
REQUEST	32		LoggedClient Redirect 1	1590716301674	1590716301678	OK	 
