ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
ASSERTION	AAECAAMEAAAAAAAAgFZA
RUN	dp2.AerolineaCreaNuevaPistaAterrizajeCSV	aerolineacreanuevapistaaterrizajecsv	1590716607430	 	3.3.1
USER	AirlineCreateRunway	104	START	1590716614640	1590716614640
REQUEST	104		Home	1590716614640	1590716614646	OK	 
USER	AirlineCreateRunway	105	START	1590716614685	1590716614685
REQUEST	105		Home	1590716614685	1590716614690	OK	 
USER	AirlineCreateRunway	106	START	1590716614736	1590716614736
REQUEST	106		Home	1590716614737	1590716614742	OK	 
USER	AirlineCreateRunway	107	START	1590716614784	1590716614784
REQUEST	107		Home	1590716614785	1590716614790	OK	 
USER	AirlineCreateRunway	108	START	1590716614836	1590716614836
REQUEST	108		Home	1590716614837	1590716614842	OK	 
USER	AirlineCreateRunway	109	START	1590716614884	1590716614884
REQUEST	109		Home	1590716614884	1590716614890	OK	 
USER	AirlineCreateRunway	110	START	1590716614937	1590716614937
REQUEST	110		Home	1590716614938	1590716614942	OK	 
USER	AirlineCreateRunway	111	START	1590716614984	1590716614984
REQUEST	111		Home	1590716614985	1590716614991	OK	 
USER	AirlineCreateRunway	112	START	1590716615037	1590716615037
REQUEST	112		Home	1590716615038	1590716615042	OK	 
USER	AirlineCreateRunway	113	START	1590716615085	1590716615085
REQUEST	113		Home	1590716615086	1590716615091	OK	 
USER	AirlineCreateRunway	114	START	1590716615140	1590716615140
REQUEST	114		Home	1590716615141	1590716615145	OK	 
USER	AirlineCreateRunway	115	START	1590716615187	1590716615187
REQUEST	115		Home	1590716615187	1590716615192	OK	 
USER	AirlineCreateRunway	116	START	1590716615234	1590716615234
REQUEST	116		Home	1590716615235	1590716615239	OK	 
USER	AirlineCreateRunway	117	START	1590716615287	1590716615287
REQUEST	117		Home	1590716615287	1590716615292	OK	 
USER	AirlineCreateRunway	118	START	1590716615334	1590716615334
REQUEST	118		Home	1590716615335	1590716615340	OK	 
USER	AirlineCreateRunway	119	START	1590716615388	1590716615388
REQUEST	119		Home	1590716615389	1590716615395	OK	 
USER	AirlineCreateRunway	120	START	1590716615434	1590716615434
REQUEST	120		Home	1590716615435	1590716615439	OK	 
USER	AirlineCreateRunway	121	START	1590716615488	1590716615488
REQUEST	121		Home	1590716615490	1590716615495	OK	 
USER	AirlineCreateRunway	122	START	1590716615525	1590716615525
REQUEST	122		Home	1590716615526	1590716615531	OK	 
USER	AirlineCreateRunway	123	START	1590716615578	1590716615578
REQUEST	123		Home	1590716615579	1590716615584	OK	 
USER	AirlineCreateRunway	124	START	1590716615627	1590716615627
REQUEST	124		Home	1590716615628	1590716615636	OK	 
REQUEST	1		LoginAirline	1590716615604	1590716615608	OK	 
REQUEST	3		LoginAirline	1590716615641	1590716615646	OK	 
REQUEST	2		LoginAirline	1590716615594	1590716615597	OK	 
USER	AirlineCreateRunway	125	START	1590716615677	1590716615677
REQUEST	4		LoginAirline	1590716615678	1590716615682	OK	 
REQUEST	125		Home	1590716615678	1590716615684	OK	 
REQUEST	5		LoginAirline	1590716615746	1590716615749	OK	 
USER	AirlineCreateRunway	126	START	1590716615724	1590716615724
REQUEST	126		Home	1590716615752	1590716615757	OK	 
USER	AirlineCreateRunway	127	START	1590716615779	1590716615779
REQUEST	127		Home	1590716615780	1590716615788	OK	 
REQUEST	6		LoginAirline	1590716615794	1590716615797	OK	 
USER	AirlineCreateRunway	128	START	1590716615826	1590716615826
REQUEST	128		Home	1590716615827	1590716615833	OK	 
REQUEST	7		LoginAirline	1590716615848	1590716615850	OK	 
USER	AirlineCreateRunway	129	START	1590716615880	1590716615880
REQUEST	129		Home	1590716615880	1590716615885	OK	 
REQUEST	8		LoginAirline	1590716615884	1590716615887	OK	 
USER	AirlineCreateRunway	130	START	1590716615927	1590716615927
REQUEST	130		Home	1590716615927	1590716615932	OK	 
REQUEST	9		LoginAirline	1590716615938	1590716615940	OK	 
USER	AirlineCreateRunway	131	START	1590716615974	1590716615974
REQUEST	131		Home	1590716615975	1590716615981	OK	 
REQUEST	10		LoginAirline	1590716615985	1590716615987	OK	 
USER	AirlineCreateRunway	132	START	1590716616026	1590716616026
REQUEST	132		Home	1590716616027	1590716616032	OK	 
REQUEST	11		LoginAirline	1590716616049	1590716616051	OK	 
USER	AirlineCreateRunway	133	START	1590716616074	1590716616074
REQUEST	133		Home	1590716616075	1590716616080	OK	 
REQUEST	12		LoginAirline	1590716616085	1590716616088	OK	 
USER	AirlineCreateRunway	134	START	1590716616128	1590716616128
REQUEST	134		Home	1590716616129	1590716616134	OK	 
REQUEST	13		LoginAirline	1590716616140	1590716616143	OK	 
USER	AirlineCreateRunway	135	START	1590716616175	1590716616175
REQUEST	135		Home	1590716616176	1590716616181	OK	 
REQUEST	14		LoginAirline	1590716616186	1590716616189	OK	 
USER	AirlineCreateRunway	136	START	1590716616229	1590716616229
REQUEST	136		Home	1590716616230	1590716616234	OK	 
REQUEST	15		LoginAirline	1590716616234	1590716616237	OK	 
USER	AirlineCreateRunway	137	START	1590716616277	1590716616277
REQUEST	137		Home	1590716616277	1590716616282	OK	 
REQUEST	16		LoginAirline	1590716616299	1590716616302	OK	 
USER	AirlineCreateRunway	138	START	1590716616329	1590716616329
REQUEST	138		Home	1590716616329	1590716616334	OK	 
REQUEST	17		LoginAirline	1590716616340	1590716616343	OK	 
USER	AirlineCreateRunway	139	START	1590716616376	1590716616376
REQUEST	139		Home	1590716616376	1590716616382	OK	 
REQUEST	18		LoginAirline	1590716616387	1590716616389	OK	 
USER	AirlineCreateRunway	140	START	1590716616430	1590716616430
REQUEST	140		Home	1590716616430	1590716616435	OK	 
REQUEST	19		LoginAirline	1590716616434	1590716616439	OK	 
USER	AirlineCreateRunway	141	START	1590716616476	1590716616476
REQUEST	141		Home	1590716616476	1590716616481	OK	 
REQUEST	20		LoginAirline	1590716616487	1590716616490	OK	 
USER	AirlineCreateRunway	142	START	1590716616535	1590716616535
REQUEST	21		LoginAirline	1590716616535	1590716616538	OK	 
REQUEST	142		Home	1590716616535	1590716616540	OK	 
USER	AirlineCreateRunway	143	START	1590716616589	1590716616589
REQUEST	22		LoginAirline	1590716616589	1590716616592	OK	 
REQUEST	143		Home	1590716616589	1590716616595	OK	 
USER	AirlineCreateRunway	144	START	1590716616635	1590716616635
REQUEST	144		Home	1590716616636	1590716616641	OK	 
REQUEST	23		LoginAirline	1590716616647	1590716616649	OK	 
USER	AirlineCreateRunway	145	START	1590716616689	1590716616689
REQUEST	145		Home	1590716616690	1590716616695	OK	 
REQUEST	24		LoginAirline	1590716616694	1590716616697	OK	 
USER	AirlineCreateRunway	146	START	1590716616736	1590716616736
REQUEST	146		Home	1590716616737	1590716616741	OK	 
REQUEST	25		LoginAirline	1590716616747	1590716616750	OK	 
USER	AirlineCreateRunway	147	START	1590716616784	1590716616784
REQUEST	26		LoginAirline	1590716616784	1590716616789	OK	 
REQUEST	147		Home	1590716616785	1590716616791	OK	 
USER	AirlineCreateRunway	148	START	1590716616835	1590716616835
REQUEST	27		LoginAirline	1590716616836	1590716616840	OK	 
REQUEST	148		Home	1590716616836	1590716616841	OK	 
USER	AirlineCreateRunway	149	START	1590716616889	1590716616889
REQUEST	28		LoginAirline	1590716616890	1590716616893	OK	 
REQUEST	149		Home	1590716616890	1590716616895	OK	 
USER	AirlineCreateRunway	150	START	1590716616937	1590716616937
REQUEST	29		LoginAirline	1590716616937	1590716616941	OK	 
REQUEST	150		Home	1590716616938	1590716616943	OK	 
USER	AirlineCreateRunway	151	START	1590716616985	1590716616985
REQUEST	30		LoginAirline	1590716616985	1590716616990	OK	 
REQUEST	151		Home	1590716616986	1590716616993	OK	 
USER	AirlineCreateRunway	152	START	1590716617039	1590716617039
REQUEST	31		LoginAirline	1590716617039	1590716617043	OK	 
REQUEST	152		Home	1590716617039	1590716617045	OK	 
USER	AirlineCreateRunway	153	START	1590716617085	1590716617085
REQUEST	32		LoginAirline	1590716617085	1590716617089	OK	 
REQUEST	153		Home	1590716617086	1590716617091	OK	 
USER	AirlineCreateRunway	154	START	1590716617140	1590716617140
REQUEST	33		LoginAirline	1590716617140	1590716617144	OK	 
REQUEST	154		Home	1590716617140	1590716617146	OK	 
USER	AirlineCreateRunway	155	START	1590716617186	1590716617186
REQUEST	34		LoginAirline	1590716617186	1590716617189	OK	 
REQUEST	155		Home	1590716617186	1590716617193	OK	 
USER	AirlineCreateRunway	156	START	1590716617240	1590716617240
REQUEST	35		LoginAirline	1590716617240	1590716617243	OK	 
REQUEST	156		Home	1590716617240	1590716617246	OK	 
USER	AirlineCreateRunway	157	START	1590716617287	1590716617287
REQUEST	36		LoginAirline	1590716617287	1590716617291	OK	 
REQUEST	157		Home	1590716617287	1590716617294	OK	 
USER	AirlineCreateRunway	158	START	1590716617334	1590716617334
REQUEST	37		LoginAirline	1590716617335	1590716617338	OK	 
REQUEST	158		Home	1590716617335	1590716617340	OK	 
USER	AirlineCreateRunway	159	START	1590716617388	1590716617388
REQUEST	38		LoginAirline	1590716617389	1590716617392	OK	 
REQUEST	159		Home	1590716617389	1590716617394	OK	 
USER	AirlineCreateRunway	160	START	1590716617434	1590716617434
REQUEST	39		LoginAirline	1590716617434	1590716617437	OK	 
REQUEST	160		Home	1590716617435	1590716617440	OK	 
USER	AirlineCreateRunway	161	START	1590716617488	1590716617488
REQUEST	40		LoginAirline	1590716617488	1590716617493	OK	 
REQUEST	161		Home	1590716617490	1590716617496	OK	 
USER	AirlineCreateRunway	162	START	1590716617524	1590716617524
REQUEST	162		Home	1590716617525	1590716617531	OK	 
REQUEST	41		LoginAirline	1590716617535	1590716617538	OK	 
REQUEST	42		LoginAirline	1590716617557	1590716617560	OK	 
USER	AirlineCreateRunway	163	START	1590716617579	1590716617579
REQUEST	163		Home	1590716617580	1590716617584	OK	 
REQUEST	43		LoginAirline	1590716617604	1590716617607	OK	 
USER	AirlineCreateRunway	164	START	1590716617625	1590716617625
REQUEST	164		Home	1590716617625	1590716617637	OK	 
REQUEST	44		LoginAirline	1590716617656	1590716617659	OK	 
USER	AirlineCreateRunway	165	START	1590716617677	1590716617677
REQUEST	165		Home	1590716617678	1590716617682	OK	 
REQUEST	45		LoginAirline	1590716617704	1590716617707	OK	 
USER	AirlineCreateRunway	166	START	1590716617725	1590716617725
REQUEST	166		Home	1590716617726	1590716617732	OK	 
REQUEST	46		LoginAirline	1590716617757	1590716617760	OK	 
USER	AirlineCreateRunway	167	START	1590716617778	1590716617778
REQUEST	167		Home	1590716617779	1590716617783	OK	 
REQUEST	47		LoginAirline	1590716617804	1590716617807	OK	 
USER	AirlineCreateRunway	168	START	1590716617825	1590716617825
REQUEST	168		Home	1590716617825	1590716617830	OK	 
REQUEST	48		LoginAirline	1590716617858	1590716617861	OK	 
USER	AirlineCreateRunway	169	START	1590716617878	1590716617878
REQUEST	169		Home	1590716617879	1590716617884	OK	 
REQUEST	49		LoginAirline	1590716617904	1590716617907	OK	 
USER	AirlineCreateRunway	170	START	1590716617925	1590716617925
REQUEST	170		Home	1590716617926	1590716617931	OK	 
REQUEST	50		LoginAirline	1590716617957	1590716617960	OK	 
USER	AirlineCreateRunway	171	START	1590716617977	1590716617977
REQUEST	171		Home	1590716617978	1590716617983	OK	 
REQUEST	51		LoginAirline	1590716618009	1590716618012	OK	 
USER	AirlineCreateRunway	172	START	1590716618024	1590716618024
REQUEST	172		Home	1590716618024	1590716618029	OK	 
REQUEST	52		LoginAirline	1590716618054	1590716618057	OK	 
USER	AirlineCreateRunway	173	START	1590716618075	1590716618075
REQUEST	173		Home	1590716618076	1590716618080	OK	 
REQUEST	53		LoginAirline	1590716618119	1590716618121	OK	 
USER	AirlineCreateRunway	174	START	1590716618129	1590716618129
REQUEST	174		Home	1590716618130	1590716618134	OK	 
REQUEST	54		LoginAirline	1590716618154	1590716618157	OK	 
USER	AirlineCreateRunway	175	START	1590716618176	1590716618176
REQUEST	175		Home	1590716618176	1590716618181	OK	 
REQUEST	55		LoginAirline	1590716618197	1590716618199	OK	 
USER	AirlineCreateRunway	176	START	1590716618228	1590716618228
REQUEST	176		Home	1590716618229	1590716618234	OK	 
REQUEST	56		LoginAirline	1590716618254	1590716618257	OK	 
USER	AirlineCreateRunway	177	START	1590716618274	1590716618274
