ASSERTION	AAEDAAEBAwAAAAAAAEB/QA==
ASSERTION	AAEDAAECAwAAAAAAAEB/QA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	simulations.AerolineaCreaAvionCSV	aerolineacreaavioncsv	1590711334090	 	3.3.1
USER	Airlines	113	START	1590711348286	1590711348286
REQUEST	113		AirlineLogin	1590711348286	1590711348290	OK	 
USER	Airlines	114	START	1590711348391	1590711348391
REQUEST	114		AirlineLogin	1590711348391	1590711348396	OK	 
USER	Airlines	115	START	1590711348491	1590711348491
REQUEST	115		AirlineLogin	1590711348492	1590711348496	OK	 
USER	Airlines	116	START	1590711348586	1590711348586
REQUEST	116		AirlineLogin	1590711348586	1590711348590	OK	 
USER	Airlines	117	START	1590711348686	1590711348686
REQUEST	117		AirlineLogin	1590711348687	1590711348691	OK	 
USER	Airlines	118	START	1590711348788	1590711348788
REQUEST	118		AirlineLogin	1590711348789	1590711348794	OK	 
USER	Airlines	119	START	1590711348890	1590711348890
REQUEST	119		AirlineLogin	1590711348891	1590711348895	OK	 
USER	Airlines	120	START	1590711348990	1590711348990
REQUEST	120		AirlineLogin	1590711348990	1590711348994	OK	 
USER	Airlines	121	START	1590711349090	1590711349090
REQUEST	121		AirlineLogin	1590711349090	1590711349094	OK	 
USER	Airlines	122	START	1590711349190	1590711349190
REQUEST	122		AirlineLogin	1590711349191	1590711349195	OK	 
USER	Airlines	123	START	1590711349290	1590711349290
REQUEST	123		AirlineLogin	1590711349290	1590711349295	OK	 
USER	Airlines	124	START	1590711349386	1590711349386
REQUEST	124		AirlineLogin	1590711349386	1590711349390	OK	 
USER	Airlines	125	START	1590711349488	1590711349488
REQUEST	125		AirlineLogin	1590711349489	1590711349493	OK	 
USER	Airlines	126	START	1590711349589	1590711349589
REQUEST	126		AirlineLogin	1590711349637	1590711349641	OK	 
USER	Airlines	127	START	1590711349690	1590711349690
REQUEST	127		AirlineLogin	1590711349691	1590711349695	OK	 
USER	Airlines	128	START	1590711349790	1590711349790
REQUEST	128		AirlineLogin	1590711349792	1590711349799	OK	 
USER	Airlines	129	START	1590711349891	1590711349891
REQUEST	129		AirlineLogin	1590711349891	1590711349896	OK	 
USER	Airlines	130	START	1590711349991	1590711349991
REQUEST	130		AirlineLogin	1590711349992	1590711349995	OK	 
USER	Airlines	131	START	1590711350086	1590711350086
REQUEST	131		AirlineLogin	1590711350086	1590711350090	OK	 
USER	Airlines	132	START	1590711350186	1590711350186
REQUEST	132		AirlineLogin	1590711350186	1590711350191	OK	 
USER	Airlines	133	START	1590711350287	1590711350287
REQUEST	133		AirlineLogin	1590711350287	1590711350291	OK	 
USER	Airlines	134	START	1590711350389	1590711350389
REQUEST	134		AirlineLogin	1590711350389	1590711350393	OK	 
USER	Airlines	135	START	1590711350487	1590711350487
REQUEST	135		AirlineLogin	1590711350488	1590711350493	OK	 
USER	Airlines	136	START	1590711350588	1590711350588
REQUEST	136		AirlineLogin	1590711350589	1590711350593	OK	 
USER	Airlines	137	START	1590711350686	1590711350686
REQUEST	137		AirlineLogin	1590711350686	1590711350690	OK	 
USER	Airlines	138	START	1590711350788	1590711350788
REQUEST	138		AirlineLogin	1590711350788	1590711350792	OK	 
USER	Airlines	139	START	1590711350890	1590711350890
REQUEST	139		AirlineLogin	1590711350890	1590711350894	OK	 
USER	Airlines	140	START	1590711350986	1590711350986
REQUEST	140		AirlineLogin	1590711350987	1590711350991	OK	 
USER	Airlines	141	START	1590711351088	1590711351088
REQUEST	141		AirlineLogin	1590711351088	1590711351092	OK	 
USER	Airlines	142	START	1590711351191	1590711351191
REQUEST	142		AirlineLogin	1590711351192	1590711351196	OK	 
USER	Airlines	143	START	1590711351291	1590711351291
REQUEST	143		AirlineLogin	1590711351292	1590711351296	OK	 
USER	Airlines	144	START	1590711351387	1590711351387
REQUEST	144		AirlineLogin	1590711351388	1590711351391	OK	 
USER	Airlines	145	START	1590711351487	1590711351487
REQUEST	145		AirlineLogin	1590711351488	1590711351492	OK	 
USER	Airlines	146	START	1590711351587	1590711351587
REQUEST	146		AirlineLogin	1590711351588	1590711351592	OK	 
USER	Airlines	147	START	1590711351688	1590711351688
REQUEST	147		AirlineLogin	1590711351689	1590711351692	OK	 
USER	Airlines	148	START	1590711351788	1590711351788
REQUEST	148		AirlineLogin	1590711351788	1590711351793	OK	 
USER	Airlines	149	START	1590711351888	1590711351888
REQUEST	149		AirlineLogin	1590711351889	1590711351893	OK	 
USER	Airlines	150	START	1590711351989	1590711351989
REQUEST	150		AirlineLogin	1590711351989	1590711351993	OK	 
USER	Airlines	151	START	1590711352089	1590711352089
REQUEST	151		AirlineLogin	1590711352090	1590711352094	OK	 
USER	Airlines	152	START	1590711352191	1590711352191
REQUEST	152		AirlineLogin	1590711352192	1590711352196	OK	 
USER	Airlines	153	START	1590711352291	1590711352291
REQUEST	153		AirlineLogin	1590711352292	1590711352295	OK	 
USER	Airlines	154	START	1590711352386	1590711352386
REQUEST	154		AirlineLogin	1590711352386	1590711352390	OK	 
USER	Airlines	155	START	1590711352486	1590711352486
REQUEST	155		AirlineLogin	1590711352486	1590711352490	OK	 
USER	Airlines	156	START	1590711352587	1590711352587
REQUEST	156		AirlineLogin	1590711352587	1590711352592	OK	 
USER	Airlines	157	START	1590711352687	1590711352687
REQUEST	157		AirlineLogin	1590711352688	1590711352692	OK	 
USER	Airlines	158	START	1590711352786	1590711352786
REQUEST	158		AirlineLogin	1590711352786	1590711352791	OK	 
USER	Airlines	159	START	1590711352888	1590711352888
REQUEST	159		AirlineLogin	1590711352888	1590711352892	OK	 
USER	Airlines	160	START	1590711352987	1590711352987
REQUEST	160		AirlineLogin	1590711352987	1590711352991	OK	 
USER	Airlines	161	START	1590711353088	1590711353088
REQUEST	161		AirlineLogin	1590711353089	1590711353093	OK	 
USER	Airlines	162	START	1590711353188	1590711353188
